MOS-002: per-cardinality best generator by anchored min(P,S), by epsilon
degeneracy guard: in the SCORER (per-triad AM/HM separation >= epsilon); no report-layer filter
  N | eps=0.5   | eps=1.0   | eps=2.0   | eps=5.0  
  5 |   497.6c m=4    |   497.1c m=4    |   538.5c m=5    |   536.1c m=7   
  6 |    29.5c m=4    |    41.7c m=4    |   211.4c m=5    |   210.1c m=8   
  7 |   498.5c m=7    |   572.0c m=11   |   539.4c m=10   |   538.9c m=18  
  8 |   448.3c m=9    |   448.2c m=9    |   451.9c m=10   |   123.3c m=17  
  9 |   582.0c m=13   |   572.0c m=19   |   539.4c m=16   |   538.9c m=30  
 10 |   366.6c m=10   |   367.6c m=16   |   367.6c m=23   |   367.0c m=30  
 11 |   582.0c m=21   |   572.0c m=27   |   565.5c m=26   |   538.9c m=44  
 12 |   486.8c m=20   |   498.4c m=20   |   498.2c m=25   |   502.9c m=38  
 13 |   582.0c m=29   |   286.0c m=42   |   367.6c m=38   |   367.0c m=56  
 14 |   243.4c m=19   |   416.3c m=36   |   265.6c m=39   |   431.4c m=63  
 15 |   582.0c m=37   |   572.2c m=45   |   565.5c m=52   |   301.2c m=75  
 16 |   532.2c m=35   |   386.0c m=40   |   376.8c m=51   |   220.5c m=76  
 17 |   486.8c m=51   |   286.0c m=74   |   565.5c m=67   |   299.0c m=104 
 18 |   472.4c m=43   |   472.1c m=41   |   473.0c m=60   |   330.5c m=119 
 19 |   311.8c m=45   |   311.7c m=70   |   376.8c m=77   |   301.2c m=141 
 20 |   416.3c m=53   |   416.3c m=83   |   416.2c m=89   |   538.9c m=150 
 21 |   286.1c m=48   |   286.0c m=106  |   285.9c m=98   |   299.2c m=194 
 22 |   486.8c m=86   |   486.7c m=81   |   386.2c m=104  |   267.4c m=205 
